region,iso3,name_0,palma,income,population,aad_homeless,aad_sheltered,aad_protracted
Africa,AGO,Angola,0.09588039,0.638,32812442,182.8561095,0.04484334,0.122075075
Africa,BDI,Burundi,0.04389414,0.325,11888292,4900.9039,67.81273289,11.45300651
Africa,BEN,Benin,0.036878216,0.544,12098490,44.6395921,0.034359248,0.012633017
Africa,BWA,Botswana,0.10411661,0.774,2351345,8.019319862,0.021935063,0.002100734
Africa,CAF,Central African Republic,0.05782155,0.362,4820646,26.08401281,0.025867808,0.00202105
Africa,CIV,Ivory Coast,0.06289872,0.632,26349388,29.89546048,0.01624726,0.002940442
Africa,CMR,Cameroon,0.05454861,0.58,26512346,74.49707787,0.060625132,0.007756456
Africa,COD,Congo,0.06477576,0.392,5502631,65.90777827,0.091402444,0.009484474
Africa,COD,Democratic Republic of the Congo,0.06477576,0.392,89541366,12343.78613,169.5375805,14.03353469
Africa,COM,Comoros,0.06454075,0.535,855913,0.22400612,6.51E-05,7.60E-06
Africa,DJI,Djibouti,0.054,0.625,983496,841.3733,1.143538598,0.223728601
Africa,DZA,Algeria,0.037681608,0.753,43770496,54811.57664,2578.964227,265.1954957
Africa,EGY,Egypt,0.036491227,0.767,102108985,13606.21927,454.3663331,36.3577954
Africa,ERI,Eritrea,0.039008696,0.453,3542843,888.43537,2.853938584,0.885395963
Africa,ETH,Ethiopia,0.039008696,0.497,114551133,8322.938287,48.42490289,20.0719909
Africa,GAB,Gabon,0.042155514,0.792,2160267,6.25229991,0.056096099,0.000986264
Africa,GHA,Ghana,0.05874092,0.632,31038081,831.7195415,1.089155475,0.261593277
Africa,GIN,Guinea,0.02759081,0.533,13072330,142.6355,0.167208522,0.045558924
Africa,GMB,Gambia,0.046868186,0.5,2383895,2.339498779,0.000703048,4.69E-05
Africa,GNB,Guinea Bissau,0.034598663,0.477,1965993,32.431086,0.026610057,0.00744606
Africa,GNQ,Equatorial Guinea,0.065018587,0.746,1395977,6.488708877,0.017813844,0.000377045
Africa,KEN,Kenya,0.047087755,0.603,53744586,2866.187306,6.15309665,0.961840763
Africa,LBR,Liberia,0.037824156,0.409,5019245,30.32100878,0.028692752,0.00762296
Africa,LBY,Libya,0.041012325,0.787,6846200,342.0275114,5.680456687,0.251462231
Africa,LSO,Lesotho,0.06377922,0.512,2141867,26.546986,0.018589448,0.002572495
Africa,MAR,Morocco,0.04550669,0.671,36736926,10450.89927,20.57971331,5.519568961
Africa,MDG,Madagascar,0.05634529,0.421,27608603,582.96077,1.838360316,0.146042664
Africa,MLI,Mali,0.039210992,0.474,20237399,34.70516604,0.029438117,0.009679438
Africa,MOZ,Mozambique,0.0893985,0.392,31216600,3236.351018,7.069274742,5.310209405
Africa,MRT,Mauritania,0.031281848,0.623,4616290,10.42706221,0.004355205,0.001355416
Africa,MWI,Malawi,0.04655307,0.424,19074240,7742.62,70.4445527,3.773245748
Africa,NAM,Namibia,0.14810185,0.706,2539890,8.9269397,0.027671645,0.004347639
Africa,NGA,Nigeria,0.037431111,0.606,205998960,138.1129663,0.12343728,0.06230301
Africa,RWA,Rwanda,0.06161663,0.504,12941400,3711.2054,15.45897565,2.339711859
Africa,SDN,Sudan,0.03778346,0.525,43708102,6.2410465,0.002583055,0.000839136
Africa,SEN,Senegal,0.04071429,0.564,16703297,10.21920088,0.004688267,0.001857316
Africa,SLE,Sierra Leone,0.040812,0.424,7944410,44.13629,0.047033057,0.014347726
Africa,SOM,Somalia,0.04785996,0.404,15864242,194.6216944,0.414367503,0.023215835
Africa,SSD,South Sudan,0.06023114,0.294,11179626,894.5276911,6.300248762,0.305685242
Africa,SWZ,Eswatini,0.10943015,0.711,1158278,3.968395,0.010316692,0.000955234
Africa,TGO,Togo,0.044281583,0.501,8251085,110.5968894,0.132735879,0.009265163
Africa,TUN,Tunisia,0.061945753,0.725,11772524,4357.645526,155.2945312,2.962407606
Africa,TZA,Tanzania,0.05246377,0.535,59694876,10657.82211,52.54672295,7.306182967
Africa,UGA,Uganda,0.05952489,0.496,45677330,10353.9026,65.63672811,9.072230108
Africa,ZAF,South Africa,0.1595098,0.745,59297650,2956.1225,24.85517232,14.24561361
Africa,ZMB,Zambia,0.09308333,0.53,18295325,1776.9434,1.413234163,2.630820906
Africa,ZWE,Zimbabwe,0.06281741,0.53,14861290,380.751246,0.628924226,0.102012507
