region,name_0,calc_id,homeless_10,homeless_20,homeless_30,homeless_40,homeless_50,homeless_100,homeless_200,homeless_250,homeless_500,homeless_1000,sheltered_10,sheltered_20,sheltered_30,sheltered_40,sheltered_50,sheltered_100,sheltered_200,sheltered_250,sheltered_500,sheltered_1000,protracted_10,protracted_20,protracted_30,protracted_40,protracted_50,protracted_100,protracted_200,protracted_250,protracted_500,protracted_1000
Africa,Algeria,99964321,113865.2813,209936.8281,287648.7133,352625.4063,410509.875,648950.5625,975916.0625,1127702.125,1619331.25,2188825.75,8679.704434,19135.60191,28805.26495,37880.80933,46835.79488,84258.78791,142143.2498,173178.0524,259293.7128,397253.0697,992.5771841,2458.874309,3969.344325,5351.728326,6719.1427,12757.98417,23525.24327,28506.24578,48776.72144,84955.9639
Africa,Angola,99964344,8.58E-09,8.58E-09,8.58E-09,6.854376316,65.44029236,1207.056152,4521.341797,6018.047852,13329.98438,28089.46875,3.04E-08,3.04E-08,3.04E-08,0.000602825,0.011806145,0.493941615,2.764821462,4.253429549,12.81941403,34.85581902,2.10E-08,2.10E-08,2.10E-08,0.001095022,0.027227815,1.666725575,11.17340668,17.95406844,66.32155542,187.8484844
Africa,Benin,99964345,8.87E-07,8.87E-07,8.87E-07,8.87E-07,8.87E-07,8.87E-07,8.87E-07,8.87E-07,210.6890106,3594.407959,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,0.291202227,13.83000101,2.25E-08,2.25E-08,2.25E-08,2.25E-08,2.25E-08,2.25E-08,2.25E-08,2.25E-08,0.102298754,5.91674076
Africa,Botswana,99964326,2.96E-39,2.96E-39,2.96E-39,2.96E-39,0.085959174,15.15166378,98.05434418,161.3005829,522.4212036,1461.739258,1.39E-06,1.39E-06,1.39E-06,1.39E-06,0.000107023,0.039670423,0.427923038,0.767409245,4.036577309,13.33495491,2.90E-08,2.90E-08,2.90E-08,2.90E-08,3.08E-06,0.004998719,0.082586651,0.163796566,0.910494253,3.73356294
Africa,Burundi,99964327,512.0939331,10432.14941,24891.13221,39111.32813,54020.98828,117831.2031,214178.6406,252060.7031,409126.7813,631747.8125,2.317141117,204.4334658,833.6617901,1711.027997,2749.852951,9590.480717,24539.89169,32319.67269,75700.27172,155181.8575,0.464160502,32.37890506,114.9782767,224.8039405,361.0238366,1166.488631,3062.628677,4152.118124,8888.968545,17134.95386
Africa,Cameroon,99964346,5.59E-08,5.59E-08,5.59E-08,5.59E-08,1.92E-05,106.3425751,1067.834717,1738.793945,5679.057617,12311.6709,8.50E-08,8.50E-08,8.50E-08,8.50E-08,4.38E-07,0.110246273,2.034414161,4.155406,19.8830388,75.65558843,4.62E-09,4.62E-09,4.62E-09,4.62E-09,2.83E-08,0.01423754,0.313046492,0.628218697,3.44814321,11.7743152
Africa,Comoros,99964328,3.47E-05,3.47E-05,3.47E-05,3.47E-05,3.47E-05,3.47E-05,3.47E-05,3.47E-05,3.47E-05,0.062439699,7.09E-08,7.09E-08,7.09E-08,7.09E-08,7.09E-08,7.09E-08,7.09E-08,7.09E-08,7.09E-08,1.01E-05,1.57E-08,1.57E-08,1.57E-08,1.57E-08,1.57E-08,1.57E-08,1.57E-08,1.57E-08,1.57E-08,1.05E-06
Africa,Congo,99964348,4.30E-08,4.30E-08,0.633215028,33.85108185,126.21595,943.3154907,2664.883545,3339.964844,7679.288086,13506.69336,4.47E-08,4.47E-08,0.000101472,0.028106607,0.207549632,4.498102223,24.64196485,36.05366308,114.2678145,284.4066478,6.70E-09,6.70E-09,1.33E-05,0.003325856,0.019707809,0.373228514,1.912817544,2.8857791,8.880787646,24.14544225
Africa,Djibouti,99964329,274.1300354,2189.713379,4759.680558,7335.112305,9873.286133,20753.49219,37282.71875,42763.56641,65022.28125,93832.99219,0.273054772,4.002852615,11.24546749,20.56345136,30.31904682,85.17237546,203.4486769,258.5206562,499.9993951,903.6619033,0.046261781,0.910789311,2.758736959,5.301044111,8.320051525,25.88302093,60.71087919,76.45486971,156.2715337,301.8315789
Africa,Egypt,99964322,1008.02887,8367.217773,36954.21734,89914.1875,148822.2031,403026.9063,718018.8125,837442.25,1278472.25,1717800.5,24.03916518,317.3017991,1456.127516,3766.17531,7112.78686,26803.29715,67479.09785,81569.87859,148543.3201,249376.9173,1.033570944,21.83292709,144.9123207,479.4725479,992.5457814,4559.305056,12702.94279,16078.65632,33448.80571,62445.09219
